,neg,neu,pos,compound
295,0.13,0.87,0.0,-0.2732
296,0.13,0.87,0.0,-0.2732
297,0.11,0.784,0.106,-0.022
298,0.0,0.882,0.118,0.4466
299,0.0,0.693,0.307,0.7351
300,0.0,1.0,0.0,0.0
301,0.0,1.0,0.0,0.0
302,0.0,0.827,0.173,0.4466
303,0.0,1.0,0.0,0.0
304,0.0,1.0,0.0,0.0
305,0.0,1.0,0.0,0.0
306,0.0,0.755,0.245,0.7034
307,0.0,0.754,0.246,0.4466
308,0.0,1.0,0.0,0.0
309,0.0,0.804,0.196,0.4466
310,0.0,1.0,0.0,0.0
311,0.0,0.756,0.244,0.4404
312,0.0,0.882,0.118,0.4466
313,0.0,1.0,0.0,0.0
314,0.0,0.804,0.196,0.4466
315,0.0,0.854,0.146,0.4404
316,0.0,0.789,0.211,0.4466
317,0.0,0.732,0.268,0.4466
318,0.0,0.861,0.139,0.4404
319,0.0,0.802,0.198,0.4939
320,0.0,0.842,0.158,0.4939
321,0.086,0.782,0.132,0.2732
322,0.0,1.0,0.0,0.0
323,0.0,1.0,0.0,0.0
324,0.0,1.0,0.0,0.0
325,0.0,0.785,0.215,0.4767
326,0.0,1.0,0.0,0.0
327,0.0,1.0,0.0,0.0
328,0.0,0.829,0.171,0.7351
329,0.0,1.0,0.0,0.0
330,0.0,1.0,0.0,0.0
331,0.0,1.0,0.0,0.0
332,0.0,1.0,0.0,0.0
333,0.0,1.0,0.0,0.0
334,0.0,1.0,0.0,0.0
335,0.0,1.0,0.0,0.0
336,0.0,1.0,0.0,0.0
337,0.0,0.804,0.196,0.296
338,0.0,1.0,0.0,0.0
339,0.0,1.0,0.0,0.0
340,0.0,1.0,0.0,0.0
341,0.0,0.795,0.205,0.2023
342,0.0,0.821,0.179,0.34
343,0.0,1.0,0.0,0.0
344,0.0,1.0,0.0,0.0
345,0.0,0.694,0.306,0.6486
346,0.0,0.694,0.306,0.6486
347,0.091,0.909,0.0,-0.0516
348,0.091,0.909,0.0,-0.0516
349,0.161,0.839,0.0,-0.3612
350,0.0,0.564,0.436,0.8176
351,0.096,0.904,0.0,-0.1531
352,0.0,1.0,0.0,0.0
353,0.18,0.82,0.0,-0.296
354,0.0,1.0,0.0,0.0
355,0.0,1.0,0.0,0.0
356,0.16,0.84,0.0,-0.2732
357,0.0,1.0,0.0,0.0
358,0.0,1.0,0.0,0.0
359,0.178,0.822,0.0,-0.3818
360,0.0,1.0,0.0,0.0
361,0.0,1.0,0.0,0.0
362,0.0,1.0,0.0,0.0
363,0.0,1.0,0.0,0.0
364,0.0,0.787,0.213,0.4019
365,0.0,0.787,0.213,0.4019
366,0.075,0.925,0.0,-0.2732
367,0.0,0.8,0.2,0.3597
368,0.0,1.0,0.0,0.0
369,0.197,0.803,0.0,-0.4019
370,0.0,1.0,0.0,0.0
371,0.0,1.0,0.0,0.0
372,0.0,1.0,0.0,0.0
373,0.225,0.775,0.0,-0.4404
374,0.0,1.0,0.0,0.0
375,0.0,1.0,0.0,0.0
376,0.0,1.0,0.0,0.0
377,0.0,0.776,0.224,0.3818
378,0.0,0.72,0.28,0.6808
379,0.0,0.794,0.206,0.3818
380,0.0,1.0,0.0,0.0
381,0.0,1.0,0.0,0.0
382,0.0,0.569,0.431,0.6486
383,0.0,0.794,0.206,0.3818
384,0.0,1.0,0.0,0.0
385,0.0,1.0,0.0,0.0
386,0.225,0.775,0.0,-0.4404
387,0.0,1.0,0.0,0.0
388,0.0,1.0,0.0,0.0
389,0.068,0.932,0.0,-0.0258
390,0.0,1.0,0.0,0.0
391,0.0,1.0,0.0,0.0
392,0.0,1.0,0.0,0.0
393,0.0,1.0,0.0,0.0
394,0.0,0.677,0.323,0.5106
395,0.0,0.813,0.187,0.368
396,0.123,0.877,0.0,-0.1027
397,0.0,0.674,0.326,0.4404
398,0.0,1.0,0.0,0.0
399,0.0,0.786,0.214,0.4588
400,0.0,1.0,0.0,0.0
401,0.0,1.0,0.0,0.0
402,0.0,1.0,0.0,0.0
403,0.0,1.0,0.0,0.0
404,0.0,1.0,0.0,0.0
405,0.0,1.0,0.0,0.0
406,0.0,0.776,0.224,0.3818
407,0.121,0.455,0.424,0.6124
408,0.0,1.0,0.0,0.0
409,0.0,0.901,0.099,0.3182
410,0.0,1.0,0.0,0.0
411,0.0,1.0,0.0,0.0
412,0.0,1.0,0.0,0.0
413,0.0,1.0,0.0,0.0
414,0.0,0.571,0.429,0.7184
415,0.0,0.806,0.194,0.34
416,0.0,0.745,0.255,0.34
417,0.0,1.0,0.0,0.0
418,0.0,0.787,0.213,0.2263
419,0.0,1.0,0.0,0.0
420,0.0,1.0,0.0,0.0
421,0.0,1.0,0.0,0.0
422,0.0,0.769,0.231,0.2023
423,0.0,1.0,0.0,0.0
424,0.0,1.0,0.0,0.0
425,0.0,1.0,0.0,0.0
426,0.0,1.0,0.0,0.0
427,0.0,0.847,0.153,0.2023
428,0.0,1.0,0.0,0.0
429,0.0,0.649,0.351,0.6597
430,0.0,1.0,0.0,0.0
431,0.0,1.0,0.0,0.0
432,0.0,1.0,0.0,0.0
433,0.0,1.0,0.0,0.0
434,0.0,1.0,0.0,0.0
435,0.0,1.0,0.0,0.0
436,0.0,1.0,0.0,0.0
437,0.0,1.0,0.0,0.0
438,0.0,1.0,0.0,0.0
439,0.0,1.0,0.0,0.0
440,0.0,1.0,0.0,0.0
441,0.0,0.677,0.323,0.516
442,0.0,0.744,0.256,0.6705
443,0.0,1.0,0.0,0.0
444,0.0,1.0,0.0,0.0
445,0.0,1.0,0.0,0.0
446,0.0,1.0,0.0,0.0
447,0.0,1.0,0.0,0.0
448,0.0,1.0,0.0,0.0
449,0.0,0.791,0.209,0.4404
450,0.0,1.0,0.0,0.0
451,0.0,1.0,0.0,0.0
452,0.0,1.0,0.0,0.0
453,0.0,1.0,0.0,0.0
454,0.0,0.885,0.115,0.296
455,0.0,1.0,0.0,0.0
456,0.0,1.0,0.0,0.0
457,0.0,1.0,0.0,0.0
458,0.237,0.763,0.0,-0.4767
459,0.0,1.0,0.0,0.0
460,0.0,0.769,0.231,0.2023
461,0.0,1.0,0.0,0.0
462,0.0,1.0,0.0,0.0
463,0.0,1.0,0.0,0.0
464,0.0,0.735,0.265,0.2023
465,0.0,0.69,0.31,0.2023
466,0.0,0.652,0.348,0.4939
467,0.0,1.0,0.0,0.0
468,0.0,1.0,0.0,0.0
469,0.0,0.676,0.324,0.34
470,0.0,1.0,0.0,0.0
471,0.0,1.0,0.0,0.0
472,0.0,1.0,0.0,0.0
473,0.0,1.0,0.0,0.0
474,0.448,0.425,0.127,-0.6739
475,0.0,1.0,0.0,0.0
476,0.0,1.0,0.0,0.0
477,0.0,1.0,0.0,0.0
478,0.0,1.0,0.0,0.0
479,0.0,1.0,0.0,0.0
480,0.0,0.676,0.324,0.34
481,0.0,1.0,0.0,0.0
482,0.0,1.0,0.0,0.0
483,0.0,1.0,0.0,0.0
484,0.0,0.534,0.466,0.7269
